   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 19 2500 50
Inverse_Sorted_Vector 29 2500 50
Inverse_Sorted_Vector 9 2500 50
Inverse_Sorted_Vector 12 2500 50
Inverse_Sorted_Vector 29 2500 50
Inverse_Sorted_Vector 39 2500 50
Inverse_Sorted_Vector 14 2500 50
Inverse_Sorted_Vector 12 2500 50
Inverse_Sorted_Vector 16 2500 50
Inverse_Sorted_Vector 28 2500 50
   Average 

Sample_Type m n Runtime
Random_Vector 65 5000 10
Random_Vector 55 5000 10
Random_Vector 60 5000 10
Random_Vector 58 5000 10
Random_Vector 55 5000 10
Random_Vector 63 5000 10
Random_Vector 56 5000 10
Random_Vector 65 5000 10
Random_Vector 55 5000 10
Random_Vector 52 5000 10
   Average 

Sample_Type m n Runtime
Sorted_Vector 0 5000 10
Sorted_Vector 1 5000 10
Sorted_Vector 0 5000 10
Sorted_Vector 0 5000 10
Sorted_Vector 0 5000 10
Sorted_Vector 0 5000 10
Sorted_Vector 0 5000 10
Sorted_Vector 0 5000 10
Sorted_Vector 0 5000 10
Sorted_Vector 0 5000 10
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 96 5000 10
Inverse_Sorted_Vector 37 5000 10
Inverse_Sorted_Vector 133 5000 10
Inverse_Sorted_Vector 58 5000 10
Inverse_Sorted_Vector 128 5000 10
Inverse_Sorted_Vector 117 5000 10
Inverse_Sorted_Vector 83 5000 10
Inverse_Sorted_Vector 76 5000 10
Inverse_Sorted_Vector 58 5000 10
Inverse_Sorted_Vector 98 5000 10
   Average 

Sample_Type m n Runtime
Random_Vector 52 5000 25
Random_Vector 59 5000 25
Random_Vector 64 5000 25
Random_Vector 25 5000 25
Random_Vector 25 5000 25
Random_Vector 36 5000 25
Random_Vector 32 5000 25
Random_Vector 47 5000 25
Random_Vector 88 5000 25
Random_Vector 33 5000 25
   Average 

Sample_Type m n Runtime
Sorted_Vector 1 5000 25
Sorted_Vector 1 5000 25
Sorted_Vector 1 5000 25
Sorted_Vector 1 5000 25
Sorted_Vector 1 5000 25
Sorted_Vector 1 5000 25
Sorted_Vector 0 5000 25
Sorted_Vector 1 5000 25
Sorted_Vector 1 5000 25
Sorted_Vector 0 5000 25
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 103 5000 25
Inverse_Sorted_Vector 90 5000 25
